"","kappa","spec_sens","no_omission","prevalence","equal_sens_spec","sensitivity","species_name","algorithm","run","partition","presencenb","absencenb","correlation","pvaluecor","AUC","AUC_pval","AUCratio","pROC","pROC_pval","TSSmax","KAPPAmax","dismo_threshold","prevalence.value","PPP","NPP","TPR","TNR","FPR","FNR","CCR","Kappa","F_score","Jaccard"
"1",-1e-04,-1e-04,-1e-04,0.26676667,0.13323333,0.13323333,"cereus_albicaulis","bioclim",1,1,7,10,-0.221901152724692,0.392009607995528,0.407142857142857,NA,0.814285714285714,NA,NA,0,0,"spec_sens",0.411764705882353,0.411764705882353,NA,1,0,1,0,0.411764705882353,0,0.583333333333333,0.411764705882353
"2",0.36256169,0.36256169,0.36256169,0.42299824,0.45849223,0.42299824,"cereus_albicaulis","glm",1,1,7,10,0.614941144955841,0.00861084401736882,0.857142857142857,NA,1.71428571428571,1.86709266022494,0,0.7,0.657718120805369,"spec_sens",0.411764705882353,0.7,1,1,0.7,0.3,0,0.823529411764706,0.657718120805369,0.823529411764706,0.7
"3",0.07132857,0.07132857,-1e-04,0.42867143,0.07132857,0.07132857,"cereus_albicaulis","bioclim",1,2,8,10,0.0196874807739539,0.938196073183089,0.5125,NA,1.025,1.94143084743191,0,0.05,0.0526315789473686,"spec_sens",0.444444444444444,0.5,0.571428571428571,0.25,0.8,0.2,0.75,0.555555555555556,0.0526315789473686,0.333333333333333,0.2
"4",0.34366383,0.34366383,0.01659524,0.51903177,0.29635624,0.01696852,"cereus_albicaulis","glm",1,2,8,10,0.329666569712776,0.181563565159833,0.65,NA,1.3,1.50886888829345,0,0.425,0.430379746835443,"spec_sens",0.444444444444444,0.714285714285714,0.727272727272727,0.625,0.8,0.2,0.375,0.722222222222222,0.430379746835443,0.666666666666667,0.5
"5",0.13323333,0.13323333,-1e-04,0.4001,0.13323333,0.13323333,"cereus_albicaulis","bioclim",1,3,7,10,0.298807152333598,0.244006742590977,0.635714285714286,NA,1.27142857142857,1.89991833098226,0,0.314285714285714,0.301369863013699,"spec_sens",0.411764705882353,0.555555555555556,0.75,0.714285714285714,0.6,0.4,0.285714285714286,0.647058823529412,0.301369863013699,0.625,0.454545454545455
"6",0.87947181,0.87947181,0.08849174,0.46922173,0.73852528,0.12287346,"cereus_albicaulis","glm",1,3,7,10,0.25548900012517,0.322308388536906,0.671428571428571,NA,1.34285714285714,1.79999253589221,0,0.614285714285714,0.627737226277372,"spec_sens",0.411764705882353,0.833333333333333,0.818181818181818,0.714285714285714,0.9,0.1,0.285714285714286,0.823529411764706,0.627737226277372,0.769230769230769,0.625
